"R0","qq","gammaa","gammap","cincres","cinc","clinc","AWT","AWT2"
2.25,0,0.25,0.25,9.91274966280573,55658.5807174154,58277.5001913493,0,"0 days"
2.25,0,0.25,0.25,7.55744362210897,42373.8288656792,46623.4390863071,0.35,"0.35 days"
2.25,0,0.25,0.25,6.10697904444057,34197.5085877335,39451.3109024161,0.7,"0.7 days"
2.25,0,0.25,0.25,5.12541006424353,28671.060216699,34604.7645693947,1.05,"1.05 days"
2.25,0,0.25,0.25,4.4167374512994,24685.9456927588,31110.8956800722,1.4,"1.4 days"
2.25,0,0.25,0.25,3.88086317516765,21675.8306318194,28472.5490575477,1.75,"1.75 days"
2.25,0,0.25,0.25,3.46135003909525,19321.5391797361,26409.5366184302,2.1,"2.1 days"
2.25,0,0.25,0.25,3.12391832635607,17429.5520346894,24751.997976721,2.45,"2.45 days"
2.25,0,0.25,0.25,2.84660020959905,15875.7050812151,23390.9642206534,2.8,"2.8 days"
2.25,0,0.25,0.25,2.61460941766179,14576.6756227664,22253.323962055,3.15,"3.15 days"
2.25,0,0.25,0.25,2.41765705063671,13474.4692194654,21288.2043711967,3.5,"3.5 days"
2.25,0,0.25,0.25,2.24835210246055,12527.4474743102,20459.0797357674,3.85,"3.85 days"
2.25,0,0.25,0.25,2.10124634847464,11704.9634378543,19739.0769629043,4.2,"4.2 days"
2.25,0,0.25,0.25,1.97223519988226,10983.9447221358,19107.9667573154,4.55,"4.55 days"
2.25,0,0.25,0.25,1.85817024362282,10346.6846167764,18550.2231195701,4.9,"4.9 days"
2.25,0,0.25,0.25,1.75660021678061,9779.38407306165,18053.7554544404,5.25,"5.25 days"
2.25,0,0.25,0.25,1.66556837084512,9271.1115600916,17608.981825171,5.6,"5.6 days"
2.25,0,0.25,0.25,1.58351621767082,8813.10147888239,17208.2197113308,5.95,"5.95 days"
2.25,0,0.25,0.25,1.50917368800561,8398.25028637464,16845.2494005136,6.3,"6.3 days"
2.25,0,0.25,0.25,1.44151365429485,8020.71839017518,16514.9470397896,6.65,"6.65 days"
2.25,0,0.25,0.25,1.37965407102035,7675.69353551084,16213.1050734563,7,"7 days"
2.25,0.05,0.25,0.25,17.4137235177952,48606.3974747632,51312.8028251758,0,"0 days"
2.25,0.05,0.25,0.25,11.8658716077963,38063.2800519085,42217.2799474469,0.35,"0.35 days"
2.25,0.05,0.25,0.25,8.90338936081313,31294.9300365341,36383.77763086,0.7,"0.7 days"
2.25,0.05,0.25,0.25,7.08839474791823,26584.1856805253,32326.9846905864,1.05,"1.05 days"
2.25,0.05,0.25,0.25,5.87135272977398,23113.4945441782,29340.1150308067,1.4,"1.4 days"
2.25,0.05,0.25,0.25,5.00238664875979,20448.5208302849,27047.9168707684,1.75,"1.75 days"
2.25,0.05,0.25,0.25,4.35266667404891,18336.9878072847,25232.5789322879,2.1,"2.1 days"
2.25,0.05,0.25,0.25,3.84946173808244,16622.2208996517,23758.9203809447,2.45,"2.45 days"
2.25,0.05,0.25,0.25,3.4487622226468,15201.6917003567,22538.5231529577,2.8,"2.8 days"
2.25,0.05,0.25,0.25,3.12244388836815,14005.4779340234,21511.124488057,3.15,"3.15 days"
2.25,0.05,0.25,0.25,2.85176132074443,12984.2226878711,20634.2036786433,3.5,"3.5 days"
2.25,0.05,0.25,0.25,2.62371603868816,12102.0831212467,19876.8944646209,3.85,"3.85 days"
2.25,0.05,0.25,0.25,2.42904944862176,11332.3946587476,19216.2419877883,4.2,"4.2 days"
2.25,0.05,0.25,0.25,2.26099735854041,10654.9174900496,18634.8337524358,4.55,"4.55 days"
2.25,0.05,0.25,0.25,2.11447565228315,10053.9922540493,18119.1967961312,4.9,"4.9 days"
2.25,0.05,0.25,0.25,1.98563056517326,9517.31766938832,17658.7489114304,5.25,"5.25 days"
2.25,0.05,0.25,0.25,1.87146771889512,9035.1005608034,17245.0700154572,5.6,"5.6 days"
2.25,0.05,0.25,0.25,1.76961931130841,8599.44771359483,16871.3778361269,5.95,"5.95 days"
2.25,0.05,0.25,0.25,1.6782124049979,8203.91692597348,16532.133830562,6.3,"6.3 days"
2.25,0.05,0.25,0.25,1.59572473639738,7843.20161249117,16222.7755681741,6.65,"6.65 days"
2.25,0.05,0.25,0.25,1.52091740491187,7512.89979110597,15939.5250721927,7,"7 days"
2.25,0.1,0.25,0.25,52.0672521755388,36024.4222265346,38884.8577956404,0,"0 days"
2.25,0.1,0.25,0.25,22.7879526862888,30309.8708216803,34291.5705113254,0.35,"0.35 days"
2.25,0.1,0.25,0.25,14.0843343341212,26044.8197849181,30835.3600622473,0.7,"0.7 days"
2.25,0.1,0.25,0.25,10.0963101920452,22794.8856604059,28191.2023865336,1.05,"1.05 days"
2.25,0.1,0.25,0.25,7.83473334163249,20250.293540367,26115.9664451429,1.4,"1.4 days"
