"","x"
"1",55658.3157068371
"2",54711.3157433105
"3",53516.507534449
"4",52091.1350406874
"5",50449.8010236075
"6",48602.9050312869
"7",46554.3245027038
"8",44297.9439119427
"9",41812.3592981777
"10",39049.4463955146
"11",35903.4829573463
"12",32150.2649892041
"13",27765.0918220101
"14",24093.2193739372
"15",22280.4258658001
"16",22160.4319869352
"17",22303.8579450624
"18",21665.4996244729
"19",20342.4503988956
"20",18521.6690670928
"21",16262.2342836802
"22",13549.2634232842
"23",10361.9724911716
"24",6902.99719172803
"25",4030.50642385021
"26",2490.09790433169
"27",1863.04030775789
"28",1593.13637656147
"29",1444.53116573276
"30",1341.52971315825
"31",1259.795528528
"32",1190.43490607293
"33",1129.6684864923
"34",1075.44997933385
"35",1026.53573511432
"36",982.032902229227
"37",941.271019068381
"38",903.740288641502
"39",869.015849051696
"40",836.739539528918
"41",806.631668445519
"42",778.454691206399
"43",751.99547303001
"44",727.077911261681
"45",703.555292634336
"46",681.298231860201
"47",660.187592664221
"48",640.131105753056
"49",621.039003313226
"50",602.836921260795
"51",585.456806137459
"52",568.840343218989
"53",552.933903664811
"54",537.693688748112
"55",523.072781444009
"56",509.034836215181
"57",495.549321455195
"58",482.581603266835
"59",470.103924469889
"60",458.091385030859
"61",446.522474716306
"62",435.372776716883
"63",424.624793436274
"64",414.258927392804
"65",404.258412746619
"66",394.605596065076
"67",385.289750307578
"68",376.293613417204
"69",367.60535436098
"70",359.212732848929
"71",351.103117951786
"72",343.267306265111
"73",335.697103888773
"74",328.378407212443
"75",321.303101812447
"76",314.461161674194
"77",307.843878748486
"78",301.447901117666
"79",295.259060200012
"80",289.276166016208
"81",283.486534810874
"82",277.884698493429
"83",272.465428560102
"84",267.22148390484
"85",262.147409436244
"86",257.234143553126
"87",252.482514601649
"88",247.88040586845
"89",243.424804618154
"90",239.113382105863
"91",234.93785274067
"92",230.894198071028
"93",226.978876544081
"94",223.18668914236
"95",219.513493158803
"96",215.955493929922
"97",212.509153292665
"98",209.169958795543
"99",205.934565545328
"100",202.800232888332
"101",199.761200846438
