"","x"
"1",60782.7863068052
"2",51934.7930723016
"3",44253.2432083048
"4",36364.8309850015
"5",26654.6512072681
"6",19854.6396419784
"7",16059.4612287123
"8",9721.17180575616
"9",4351.93428315929
"10",2847.97880886729
"11",2387.70435701385
"12",2128.4681172115
"13",1944.26179581977
"14",1802.31468915128
"15",1688.149018553
"16",1593.62861860672
"17",1513.56303408736
"18",1444.47552948337
"19",1383.91202508887
"20",1330.1032541191
"21",1281.73656881443
"22",1237.80558595123
"23",1197.54263121035
"24",1160.33524695403
"25",1125.71089699055
"26",1093.28502717127
"27",1062.73636504551
"28",1033.81329335625
"29",1006.30908083584
"30",980.048160804688
"31",954.887833626732
"32",930.710276696996
"33",907.41180258253
"34",884.91228575252
"35",863.137252623919
"36",842.026368610071
"37",821.539035525742
"38",801.622123744711
"39",782.246821159409
"40",763.377428118966
"41",744.996439177738
"42",727.075381872058
"43",709.599663393668
"44",692.553354420468
"45",675.924678356894
"46",659.697302969436
"47",643.869825090534
"48",628.421500949703
"49",613.354439492091
"50",598.659219030203
"51",584.329871193902
"52",570.359814041274
"53",556.742345489661
"54",543.474683347845
"55",530.549777935801
"56",517.96252019017
"57",505.710221948672
"58",493.784656838059
"59",482.182910860277
"60",470.898371125902
"61",459.927196154799
"62",449.263942563091
"63",438.901277390399
"64",428.833743942233
"65",419.058312633044
"66",409.565395804683
"67",400.352667064926
"68",391.412446039599
"69",382.739479658477
"70",374.327220422665
"71",366.170639973777
"72",358.262490813387
"73",350.596331396929
"74",343.167771423841
"75",335.969947992645
"76",328.996626520813
"77",322.243359283933
"78",315.702747469943
"79",309.371383272917
"80",303.241672503387
"81",297.309132484631
"82",291.567023132991
"83",286.013157258645
"84",280.640655890744
"85",275.445918973748
"86",270.422519583273
"87",265.57089311801
"88",260.881794847926
"89",256.354756113325
"90",251.986355746
"91",247.7751237056
"92",243.715289352077
"93",239.812197538776
"94",236.062401610271
"95",232.466140993749
"96",229.033145989937
"97",225.763677310161
"98",222.674026784984
"99",219.780157279034
"100",217.116100030073
"101",214.731554465203
