"","x"
"1",7675.68547160431
"2",7656.14535656146
"3",7629.85074938417
"4",7597.0155099596
"5",7557.92875344608
"6",7512.93048578154
"7",7462.39399451914
"8",7406.72759589121
"9",7346.34860093988
"10",7281.6805755538
"11",7213.13440197955
"12",7141.10901398779
"13",7065.967614704
"14",6988.0537947215
"15",6907.66864394225
"16",6825.0761895327
"17",6740.5056259615
"18",6654.14467506359
"19",6566.13857728472
"20",6476.59928427256
"21",6385.60516848524
"22",6293.19227609437
"23",6199.37135063979
"24",6104.12225985931
"25",6007.39229125378
"26",5909.10493980337
"27",5809.15418330347
"28",5707.41411969597
"29",5603.730455214
"30",5497.92709715885
"31",5389.80197877126
"32",5279.13275426082
"33",5165.66566355962
"34",5049.1293082953
"35",4929.22643477514
"36",4805.64430037685
"37",4678.03135801709
"38",4546.04858468496
"39",4409.34129174381
"40",4267.57514505535
"41",4120.4734141553
"42",3967.89249903034
"43",3809.88164133293
"44",3646.83424089211
"45",3479.65832804082
"46",3310.00706533923
"47",3140.36733875647
"48",2974.05682376084
"49",2814.76537816401
"50",2665.70852640448
"51",2528.68792598042
"52",2403.51509643486
"53",2288.33733206991
"54",2180.36504970466
"55",2076.80966932022
"56",1975.41823924614
"57",1874.590999497
"58",1773.49448968115
"59",1671.8437284328
"60",1570.00358516752
"61",1468.52115446672
"62",1368.44878370412
"63",1270.92044713331
"64",1177.07321166125
"65",1088.11818888921
"66",1005.00312813122
"67",928.533362588409
"68",859.014098466903
"69",796.557443337332
"70",740.972413968479
"71",691.765093329486
"72",648.485977880702
"73",610.414709000488
"74",576.888429341944
"75",547.323826663465
"76",521.096567614376
"77",497.732306187394
"78",476.784943025611
"79",457.881101602286
"80",440.722146021435
"81",425.04005907864
"82",410.632571472349
"83",397.325037742875
"84",384.974743813354
"85",373.461937459461
"86",362.682509600647
"87",352.566594129938
"88",343.037779795163
"89",334.042385012864
"90",325.527549016769
"91",317.457178444915
"92",309.792512304048
"93",302.500217101826
"94",295.555607156759
"95",288.930354267775
"96",282.609543730289
"97",276.565501070482
"98",270.787206639759
"99",265.255297649586
"100",259.958477708136
"101",254.880652246564
