"","x"
"1",9.90784755641914
"2",11.8850553030751
"3",13.7657134896925
"4",15.7706782287804
"5",18.1499210010477
"6",21.2961965789116
"7",25.9888932412493
"8",34.1069436564104
"9",51.1684183738291
"10",97.3423388485499
"11",265.023108918365
"12",1027.3179509235
"13",3814.94791020957
"14",8617.08717141917
"15",13742.1111706063
"16",18016.2224181713
"17",20026.8767432937
"18",19989.6544389518
"19",18856.9275124111
"20",17083.4975774131
"21",14806.0809403376
"22",12035.6258920706
"23",8763.6025761674
"24",5215.82424214548
"25",2308.36735680401
"26",818.499045554127
"27",284.352995352312
"28",111.919446420624
"29",53.1759596762587
"30",30.5618435445368
"31",20.4769201510604
"32",15.2231143761148
"33",12.1388725553902
"34",10.1249775072143
"35",8.72278451955465
"36",7.6912922577792
"37",6.89208765096564
"38",6.26503383103415
"39",5.75825384388638
"40",5.33295891854327
"41",4.97743756341641
"42",4.67417830581299
"43",4.41415544920696
"44",4.18671720207133
"45",3.98572822779781
"46",3.80945801669078
"47",3.65254814015816
"48",3.51052095684279
"49",3.38295824208637
"50",3.26792476123603
"51",3.16297906625113
"52",3.0676500204082
"53",2.97988294503359
"54",2.89929589854689
"55",2.82489174940694
"56",2.75611999120899
"57",2.69248219651247
"58",2.63295481655292
"59",2.57819778886065
"60",2.52655039160433
"61",2.47868440472386
"62",2.43350855509891
"63",2.39127777169633
"64",2.35153411866416
"65",2.31412734751462
"66",2.27877186081095
"67",2.24552082430428
"68",2.21399210675517
"69",2.18425399821981
"70",2.15594789648005
"71",2.12922867831742
"72",2.10378868771012
"73",2.07961146993231
"74",2.05662035277285
"75",2.03468189188156
"76",2.01376812463872
"77",1.99382246008219
"78",1.97469961200227
"79",1.95652462770636
"80",1.9391571281183
"81",1.92250414791568
"82",1.90650515274291
"83",1.89122516032077
"84",1.87643954326966
"85",1.86238439298696
"86",1.84891679032277
"87",1.83593867880059
"88",1.82343865501941
"89",1.81150368288627
"90",1.79982939035776
"91",1.78866621690635
"92",1.77792602888145
"93",1.76760560172921
"94",1.75758607466936
"95",1.74793875925232
"96",1.73862757986977
"97",1.72965878112422
"98",1.72095605527013
"99",1.71256796646174
"100",1.70446988441793
"101",1.69660075935596
