"","x"
"1",1.37954423660426
"2",1.42030729654925
"3",1.45425013278616
"4",1.48497836000998
"5",1.51442067239967
"6",1.54372911670897
"7",1.57364579523647
"8",1.60467306627871
"9",1.63717305440487
"10",1.67142842940617
"11",1.70766603713064
"12",1.74608837489446
"13",1.78689642986547
"14",1.83029872182673
"15",1.87652761378372
"16",1.92585559608819
"17",1.97861200161386
"18",2.03518464986614
"19",2.09607519177544
"20",2.16187412007642
"21",2.23334615733994
"22",2.31142140814737
"23",2.39726984782108
"24",2.49235194424105
"25",2.59852512542852
"26",2.71812843826473
"27",2.85415879682808
"28",3.01047420030027
"29",3.19206253604996
"30",3.40547097504601
"31",3.65937827557884
"32",3.96535902163707
"33",4.3391532912511
"34",4.80216877617169
"35",5.38425436240135
"36",6.12710255817178
"37",7.09020727937414
"38",8.35869830362919
"39",10.0566115851717
"40",12.3657388494811
"41",15.5549580101425
"42",20.0216534750279
"43",26.3525537293639
"44",35.4018037292348
"45",48.3764270992902
"46",66.8919834461415
"47",92.919656098364
"48",128.483199213885
"49",175.008026730305
"50",232.378923099292
"51",298.182099825541
"52",367.706896321238
"53",434.898421957598
"54",493.861473435349
"55",540.024803454451
"56",570.771068412042
"57",585.321031586117
"58",584.356537073568
"59",569.49695628832
"60",543.053036752285
"61",507.408774588438
"62",465.181338244179
"63",418.858989742832
"64",370.700983582409
"65",322.799638122587
"66",276.842083321258
"67",234.20758212176
"68",195.675759817262
"69",161.728086140769
"70",132.478469892262
"71",107.694612807158
"72",87.1176824295398
"73",70.215307384864
"74",56.4729186917709
"75",45.4206916048959
"76",36.5620415511049
"77",29.5127323789818
"78",23.9179030575789
"79",19.480616984652
"80",15.9680464385232
"81",13.1789865363243
"82",10.9663768705375
"83",9.20646796112212
"84",7.8032148270454
"85",6.67832264707816
"86",5.76591159104782
"87",5.03213064700531
"88",4.43035205933386
"89",3.93687299168106
"90",3.52793191457474
"91",3.18820616361075
"92",2.90222644154226
"93",2.65950770270454
"94",2.45270951071366
"95",2.27586325725705
"96",2.12255454730786
"97",1.98744952976766
"98",1.86903153770936
"99",1.76542493538517
"100",1.67471056249314
"101",1.59040210268312
