"","x"
"1",49188.5530624396
"2",48257.3873376879
"3",47092.8010172575
"4",45713.5033154241
"5",44136.3369116095
"6",42374.8127630063
"7",40437.0473676118
"8",38322.8412897911
"9",36019.5636335935
"10",33494.1413692625
"11",30675.0520138714
"12",27439.7839242053
"13",23923.4108610149
"14",21143.8384990346
"15",19784.358334218
"16",19625.9582203109
"17",19559.194403161
"18",18838.7890280206
"19",17570.4185582662
"20",15905.3689298242
"21",13888.6597036295
"22",11505.5291576691
"23",8738.82196935342
"24",5764.21966212419
"25",3312.06688231305
"26",2003.87147331372
"27",1473.00780029604
"28",1244.84992255342
"29",1119.22457454941
"30",1032.06249546214
"31",962.804067036531
"32",903.948799473814
"33",852.31208534054
"34",806.171296071793
"35",764.479535830816
"36",726.486163440826
"37",691.627178958468
"38",659.474176469428
"39",629.670296498528
"40",601.915645423109
"41",575.975679540623
"42",551.650577207186
"43",528.763158908079
"44",507.166130476683
"45",486.736522402696
"46",467.366731851582
"47",448.958360847277
"48",431.433664891548
"49",414.718983327381
"50",398.752550197333
"51",383.478211206834
"52",368.847838387354
"53",354.817302007618
"54",341.350090324947
"55",328.408543143361
"56",315.962640740655
"57",303.986679497638
"58",292.452972186181
"59",281.338991191155
"60",270.624009971095
"61",260.290207390715
"62",250.318135887815
"63",240.693040218203
"64",231.399138931328
"65",222.422647255486
"66",213.74956466614
"67",205.369994984527
"68",197.270630010378
"69",189.441418472476
"70",181.87216227432
"71",174.552806873923
"72",167.475059923846
"73",160.631298544541
"74",154.011200928978
"75",147.607481066232
"76",141.41212585162
"77",135.417871013645
"78",129.619850905311
"79",124.008710123112
"80",118.580668090705
"81",113.32725485786
"82",108.243143069157
"83",103.323198533152
"84",98.5614869544555
"85",93.953038715347
"86",89.491565301869
"87",85.1743365595484
"88",80.9942961214703
"89",76.9476659973082
"90",73.0306973780801
"91",69.2381433161448
"92",65.566041020941
"93",62.0106618632399
"94",58.5678414241908
"95",55.2339016311109
"96",52.0052820485541
"97",48.8785817633072
"98",45.8502189578007
"99",42.9170388673016
"100",40.0760380765655
"101",37.3236948582609
