"","x"
"1",53698.25507028
"2",45111.263238611
"3",37930.425639279
"4",30880.6225447447
"5",22858.4677946021
"6",17434.8322112935
"7",13900.6983743987
"8",8266.96192856825
"9",3609.76735642983
"10",2324.29093863594
"11",1935.10981471592
"12",1716.57385705231
"13",1561.23535870071
"14",1441.39093839555
"15",1344.85575803672
"16",1264.7916244976
"17",1196.83899661064
"18",1138.07829163732
"19",1086.44883236527
"20",1040.46542276411
"21",999.025867061372
"22",961.28585550653
"23",926.601142516408
"24",894.458701057082
"25",864.462151390604
"26",836.289478780704
"27",809.672715319389
"28",784.401615002079
"29",760.3036947543
"30",737.2331770072
"31",715.071632099197
"32",693.721495222776
"33",673.097637744755
"34",653.134036538136
"35",633.770211595885
"36",614.957324568012
"37",596.661939334872
"38",578.842345733825
"39",561.475250296204
"40",544.533011811788
"41",528.001561778791
"42",511.85944987836
"43",496.095466237475
"44",480.69774379685
"45",465.657567855787
"46",450.963281752797
"47",436.613650741421
"48",422.59434703461
"49",408.906674295099
"50",395.544135756233
"51",382.502578006669
"52",369.777446140511
"53",357.364103944416
"54",345.260400945064
"55",333.461405386312
"56",321.963343988782
"57",310.763869190982
"58",299.857149205768
"59",289.240507125153
"60",278.908940117992
"61",268.85901331577
"62",259.086241972355
"63",249.584973719579
"64",240.350572777794
"65",231.379688677683
"66",222.665206602557
"67",214.203981702006
"68",205.989857182041
"69",198.017942287128
"70",190.282595942615
"71",182.778963047945
"72",175.500958195495
"73",168.442947262365
"74",161.600253634108
"75",154.966981652663
"76",148.537540400635
"77",142.307153182438
"78",136.269712547879
"79",130.420881422604
"80",124.754513560341
"81",119.265814731492
"82",113.949128589293
"83",108.800569288666
"84",103.814481013548
"85",98.9864705172795
"86",94.3111287139335
"87",89.7855186493718
"88",85.403357653629
"89",81.1614010174925
"90",77.0553734483169
"91",73.0816174373028
"92",69.2352195001506
"93",65.5143909816763
"94",61.9147997027673
"95",58.4330884335704
"96",55.0681064114877
"97",51.8160816797508
"98",48.6767466355139
"99",45.6491152843068
"100",42.7351228242527
"101",39.9384680398532
