"","x"
"1",6781.98146768697
"2",6751.49084983597
"3",6712.48386577449
"4",6665.32759765407
"5",6610.495774714
"6",6548.53860116938
"7",6480.05785965046
"8",6405.69856677902
"9",6326.11681160978
"10",6241.96867467067
"11",6153.88654895325
"12",6062.47372727563
"13",5968.27978928842
"14",5871.81152774987
"15",5773.51211440286
"16",5673.76578262516
"17",5572.90049303234
"18",5471.18419812164
"19",5368.82641805915
"20",5265.9885647689
"21",5162.78656723901
"22",5059.28678345638
"23",4955.52285533782
"24",4851.49391862606
"25",4747.16606746557
"26",4642.48181682877
"27",4537.35790011538
"28",4431.69492846361
"29",4325.37272216684
"30",4218.25719372398
"31",4110.19879646723
"32",4001.03847325267
"33",3890.60070528829
"34",3778.70544652826
"35",3665.16345127148
"36",3549.78553761227
"37",3432.36708993289
"38",3312.72788214402
"39",3190.69336800616
"40",3066.12363481601
"41",2938.94326471
"42",2809.19859911726
"43",2677.1036405003
"44",2543.1502075146
"45",2408.22756441442
"46",2273.77513309705
"47",2141.81979996466
"48",2014.9207692137
"49",1895.76789692102
"50",1786.49704241347
"51",1687.9796237823
"52",1599.45605779587
"53",1518.88253102451
"54",1443.6057045402
"55",1371.12841688494
"56",1299.5428281516
"57",1227.60080069555
"58",1154.74132870089
"59",1080.88734828127
"60",1006.47126172067
"61",932.061022697755
"62",858.569115994447
"63",786.941055882751
"64",718.090760498478
"65",652.945951062951
"66",592.217273788216
"67",536.482484256565
"68",485.943039160566
"69",440.647175568992
"70",400.421315006016
"71",364.878251875156
"72",333.657877687663
"73",306.220434145171
"74",282.069913757589
"75",260.76833092317
"76",241.862519606321
"77",225.002992966564
"78",209.867479629256
"79",196.18658607964
"80",183.744581654026
"81",172.351650043761
"82",161.863267644989
"83",152.155680851615
"84",143.128215640362
"85",134.696482476861
"86",126.787715610097
"87",119.352671431137
"88",112.337684213578
"89",105.70520925261
"90",99.4193107439706
"91",93.4531079838347
"92",87.7798313308286
"93",82.3769330730123
"94",77.226184787027
"95",72.309636490942
"96",67.6132529691836
"97",63.1208620138854
"98",58.8222273187289
"99",54.705595444446
"100",50.7614307183911
"101",46.9778511735254
