"","x"
"1",58277.2390384214
"2",57341.8780649772
"3",56161.8238100619
"4",54754.0807620566
"5",53133.042643874
"6",51308.9381012953
"7",49285.5157750418
"8",47056.5440417429
"9",44600.323647147
"10",41867.2871458062
"11",38743.7534561964
"12",34961.5173773366
"13",30359.5155520748
"14",26282.7760185022
"15",24036.2347201504
"16",23559.9216127944
"17",23548.3302048633
"18",22936.6985811611
"19",21738.8830118093
"20",20102.2800708562
"21",18074.5516404705
"22",15640.6895521672
"23",12781.261629624
"24",9676.80832123139
"25",7094.84467156357
"26",5704.01938628213
"27",5131.48984819843
"28",4880.02438573158
"29",4738.40745754936
"30",4638.66873134425
"31",4558.83744054781
"32",4490.80324191887
"33",4431.06638035616
"34",4377.70209440108
"35",4329.52232116093
"36",4285.66641018867
"37",4245.48436489122
"38",4208.47801812921
"39",4174.23235013566
"40",4142.39706472606
"41",4112.6969943482
"42",4084.89909433333
"43",4058.79368513212
"44",4034.20779648571
"45",4010.99708635006
"46",3989.03394051919
"47",3968.20118061411
"48",3948.40808214958
"49",3929.56603782496
"50",3911.60178300089
"51",3894.44832857107
"52",3878.04813096833
"53",3862.34841139288
"54",3847.30595273634
"55",3832.87451202159
"56",3819.01824661986
"57",3805.70705051057
"58",3792.90681230711
"59",3780.59006504934
"60",3768.73236468205
"61",3757.31241193868
"62",3746.30619046012
"63",3735.69639957897
"64",3725.46372692282
"65",3715.5916295888
"66",3706.06269995382
"67",3696.86634063313
"68",3687.98553886206
"69",3679.4086057846
"70",3671.12348546747
"71",3663.11769166192
"72",3655.38216287617
"73",3647.90880921392
"74",3640.68371027366
"75",3633.69886477833
"76",3626.94437465081
"77",3620.41164575545
"78",3614.09738075304
"79",3607.98757755582
"80",3602.08107327069
"81",3596.36535097207
"82",3590.83501627256
"83",3585.48490046922
"84",3580.30787258911
"85",3575.2985253405
"86",3570.44792294444
"87",3565.75689183337
"88",3561.21346811677
"89",3556.81466906099
"90",3552.55822157799
"91",3548.43592190155
"92",3544.44380968953
"93",3540.57838793974
"94",3536.83453302362
"95",3533.20814790287
"96",3529.69548854264
"97",3526.2930605315
"98",3522.99641448041
"99",3519.8022431894
"100",3516.70784243969
"101",3513.70752963657
