"","x"
"1",63333.6822313126
"2",54595.2923245019
"3",47005.0406622067
"4",39179.220423881
"5",29245.2325934164
"6",21806.5149380609
"7",18059.8649975744
"8",12338.5711635533
"9",7498.95288115959
"10",6112.28174109031
"11",5670.24339922088
"12",5416.53519493563
"13",5235.32012248195
"14",5095.44957499643
"15",4982.87951153757
"16",4889.647550939
"17",4810.65778614873
"18",4742.48912737099
"19",4682.72596274285
"20",4629.62422703972
"21",4581.89018691497
"22",4538.53187636434
"23",4498.79226952888
"24",4462.06732107454
"25",4427.89089850186
"26",4395.88373009631
"27",4365.72888049387
"28",4337.17810097885
"29",4310.0274619987
"30",4284.10371091388
"31",4259.26608324828
"32",4235.39832528512
"33",4212.39811390836
"34",4190.18640827545
"35",4168.68972937798
"36",4147.8485314233
"37",4127.62277173705
"38",4107.96001715402
"39",4088.83185192301
"40",4070.20304885631
"41",4052.05633924514
"42",4034.36362761429
"43",4017.11052299199
"44",4000.28131016136
"45",3983.864364978
"46",3967.84358192202
"47",3952.21757305788
"48",3936.9658818281
"49",3922.09058323985
"50",3907.58238020087
"51",3893.43538721646
"52",3879.64311017005
"53",3866.19893831979
"54",3853.10012851756
"55",3840.33971069817
"56",3827.91265467748
"57",3815.81631147727
"58",3804.04254705573
"59",3792.58849537619
"60",3781.44762635016
"61",3770.61614860228
"62",3760.08868452955
"63",3749.85799492256
"64",3739.9186977219
"65",3730.26779181825
"66",3720.89581968914
"67",3711.80047936844
"68",3702.97418843248
"69",3694.41175815149
"70",3686.10672948417
"71",3678.05412168207
"72",3670.24679360159
"73",3662.67838001456
"74",3655.34454254459
"75",3648.23850391599
"76",3641.35410952717
"77",3634.68696425849
"78",3628.22976293252
"79",3621.97913635659
"80",3615.92758740149
"81",3610.07069049718
"82",3604.401781471
"83",3598.91870655458
"84",3593.61466332812
"85",3588.48609552051
"86",3583.52666083683
"87",3578.73677993644
"88",3574.10732079699
"89",3569.63781289709
"90",3565.32487530659
"91",3561.16704787059
"92",3557.15862105896
"93",3553.30487162131
"94",3549.60237593677
"95",3546.05135439523
"96",3542.6613955512
"97",3539.43273598467
"98",3536.38143013475
"99",3533.52320117135
"100",3530.89161637353
"101",3528.5356868404
