"","x"
"1",16213.0915415054
"2",16180.2431665311
"3",16136.0492252264
"4",16080.8676257549
"5",16015.1831255967
"6",15939.5665065388
"7",15854.6445758607
"8",15761.1030343173
"9",15659.6428897587
"10",15550.9756149397
"11",15435.7914014471
"12",15314.7602725527
"13",15188.4926908679
"14",15057.5654203602
"15",14922.4844434468
"16",14783.6931217058
"17",14641.5764888176
"18",14496.4497169125
"19",14348.5567223988
"20",14198.0853485048
"21",14045.166992144
"22",13889.8619570024
"23",13732.1877638144
"24",13572.1102432615
"25",13409.5401182411
"26",13244.3481012719
"27",13076.3550616126
"28",12905.3481755974
"29",12731.0665958927
"30",12553.2123367573
"31",12371.4431486809
"32",12185.3818111308
"33",11994.5971052718
"34",11798.6264123162
"35",11596.9613923138
"36",11389.0642847924
"37",11174.3271528352
"38",10952.1561827225
"39",10721.9210141557
"40",10483.0107414794
"41",10234.8894437558
"42",9977.21434208571
"43",9709.92337041278
"44",9433.47543934291
"45",9149.12452913704
"46",8859.30788362234
"47",8567.82655173123
"48",8279.93060054063
"49",8001.70409185018
"50",7738.82832243355
"51",7495.09874471207
"52",7271.35857210739
"53",7065.76510022485
"54",6874.68588443329
"55",6694.08776037525
"56",6520.3947682254
"57",6350.78761506458
"58",6183.51140666183
"59",6017.62781190098
"60",5853.22647718064
"61",5690.74475139204
"62",5531.46374001766
"63",5376.85542351458
"64",5228.45758158579
"65",5087.97470226019
"66",4956.74837914948
"67",4835.93728511153
"68",4725.96262558032
"69",4626.96804683622
"70",4538.64503323655
"71",4460.22847780671
"72",4391.02625772687
"73",4329.93184406176
"74",4275.92791779387
"75",4228.11998193176
"76",4185.54667227889
"77",4147.47805292268
"78",4113.22570046705
"79",4082.21290955962
"80",4053.9771935457
"81",4028.10228120156
"82",4004.27281453208
"83",3982.21607246383
"84",3961.70829374899
"85",3942.56121937713
"86",3924.61087961447
"87",3907.7454507177
"88",3891.84429033125
"89",3876.82112751608
"90",3862.59109462996
"91",3849.09609286311
"92",3836.27345968755
"93",3824.06908406474
"94",3812.44258781542
"95",3801.34745452855
"96",3790.75966212056
"97",3780.63354801996
"98",3770.95095740056
"99",3761.67966906577
"100",3752.80094558974
"101",3744.28889930366
