"","x"
"1",387.428027609887
"2",389.405375256861
"3",391.286166438032
"4",393.291272858191
"5",395.670683633807
"6",398.817181236167
"7",403.51020890977
"8",411.62883186832
"9",428.691510132728
"10",474.868689892408
"11",642.561308158035
"12",1404.91003877611
"13",4192.7364335096
"14",8995.21198534713
"15",14120.5927891604
"16",18394.9999291424
"17",20405.7926465047
"18",20368.5671150774
"19",19235.7611875719
"20",17462.2078237412
"21",15184.6327467799
"22",12413.9849689981
"23",9141.7339528849
"24",5593.70838431791
"25",2686.04833963641
"26",1196.07573436671
"27",661.892314431963
"28",489.446722911237
"29",430.699140918176
"30",408.083450436698
"31",397.997825535147
"32",392.743654436247
"33",389.659198160911
"34",387.645163064275
"35",386.242872549935
"36",385.211308529177
"37",384.412048312469
"38",383.78495085175
"39",383.278135587298
"40",382.852811052052
"41",382.497264940023
"42",382.19398456118
"43",381.933943591359
"44",381.706489498461
"45",381.505486519255
"46",381.329204023509
"47",381.172283209946
"48",381.03024612598
"49",380.902674517626
"50",380.787633015587
"51",380.682680002044
"52",380.587344307339
"53",380.499571109968
"54",380.418978441704
"55",380.34456910158
"56",380.275792544843
"57",380.212150309409
"58",380.152618775251
"59",380.097857925703
"60",380.046206923502
"61",379.998337595196
"62",379.953158591791
"63",379.910924859923
"64",379.871178431891
"65",379.833769048699
"66",379.798411093046
"67",379.76515773434
"68",379.733626814758
"69",379.703886629057
"70",379.675578550109
"71",379.648857465429
"72",379.623415697578
"73",379.599236790708
"74",379.576244067219
"75",379.554304073457
"76",379.53338884486
"77",379.513441786468
"78",379.494317602106
"79",379.476141347606
"80",379.458772634231
"81",379.442118490112
"82",379.426118376694
"83",379.410837316211
"84",379.396050665667
"85",379.381994532854
"86",379.368525988659
"87",379.35554696986
"88",379.34304607213
"89",379.331110265506
"90",379.319435156802
"91",379.308271202824
"92",379.297530263791
"93",379.287209114986
"94",379.277188887271
"95",379.2675408972
"96",379.258229066673
"97",379.249259640685
"98",379.240556306192
"99",379.232167630713
"100",379.224068982276
"101",379.216199306823
