"","x"
"1",421.905236984943
"2",433.859016205565
"3",481.532033119975
"4",839.105717612642
"5",4395.84629924389
"6",12496.2273393861
"7",12878.7850538371
"8",6914.29739584555
"9",1685.9379640108
"10",567.204381920682
"11",425.127219047169
"12",399.08980031002
"13",391.265433146864
"14",387.841308627095
"15",385.937401029792
"16",384.732978908146
"17",383.890441695291
"18",383.271397218748
"19",382.787318387229
"20",382.403345355874
"21",382.091101112402
"22",381.829778018951
"23",381.607494175885
"24",381.415719966851
"25",381.248866741516
"26",381.101567607152
"27",380.970210622732
"28",380.852289546441
"29",380.74535325387
"30",380.648069723724
"31",380.558731883728
"32",380.476262279238
"33",380.399900222412
"34",380.328708434095
"35",380.261971844934
"36",380.199306809937
"37",380.140169853846
"38",380.084200997576
"39",380.030990753075
"40",379.980245461158
"41",379.931763578834
"42",379.885308536553
"43",379.84066092301
"44",379.7976515884
"45",379.756223398066
"46",379.716120323468
"47",379.677369798047
"48",379.639654929015
"49",379.603063069026
"50",379.567517689717
"51",379.532925334292
"52",379.499223520907
"53",379.466326907105
"54",379.434187159402
"55",379.402903844876
"56",379.372305398896
"57",379.3423280614
"58",379.313095055028
"59",379.284473846993
"60",379.256464433873
"61",379.229043744143
"62",379.202239022266
"63",379.176027877625
"64",379.150337319563
"65",379.125276455169
"66",379.100728877304
"67",379.076748142133
"68",379.053314097893
"69",379.030442944165
"70",379.008059716145
"71",378.986341224318
"72",378.965107392138
"73",378.944408381339
"74",378.924277677641
"75",378.904720131001
"76",378.885712953101
"77",378.867291153009
"78",378.84944337555
"79",378.832216139612
"80",378.815586408947
"81",378.799542661462
"82",378.784182455091
"83",378.769436117015
"84",378.755413773278
"85",378.742130206845
"86",378.729537224482
"87",378.717741838997
"88",378.706779132662
"89",378.696737832817
"90",378.687647890628
"91",378.679607633835
"92",378.672745177176
"93",378.667074634833
"94",378.662827847319
"95",378.660189806859
"96",378.659390824685
"97",378.660671594748
"98",378.664418293538
"99",378.671091078067
"100",378.681128918982
"101",378.695295952599
