"","x"
"1",379.884740197928
"2",379.954638097555
"3",380.01282384156
"4",380.065480191556
"5",380.115914047994
"6",380.166100440366
"7",380.217311602079
"8",380.270408239475
"9",380.326010852609
"10",380.384603655637
"11",380.446574673339
"12",380.512270379925
"13",380.582034913986
"14",380.656224155494
"15",380.735235449741
"16",380.819534418471
"17",380.909684229226
"18",381.00634730841
"19",381.110381503785
"20",381.222795908354
"21",381.344897940118
"22",381.478277473389
"23",381.624934474107
"24",381.787366352351
"25",381.968748307579
"26",382.173079805006
"27",382.405485182819
"28",382.672561528734
"29",382.982838741236
"30",383.347513929582
"31",383.781430927604
"32",384.30438860612
"33",384.943313149611
"34",385.734831135867
"35",386.730016828151
"36",388.000220295616
"37",389.647268747449
"38",391.816890130831
"39",394.721445708318
"40",398.672230392176
"41",404.129734397565
"42",411.77463488095
"43",422.612048999086
"44",438.105273692615
"45",460.322005787265
"46",492.028975134513
"47",536.599500624251
"48",597.491054228654
"49",677.126546638286
"50",775.280410579783
"51",887.789543397575
"52",1006.57343445419
"53",1121.27916954632
"54",1221.85464841942
"55",1300.52686025307
"56",1352.86195760789
"57",1377.5564028388
"58",1375.78888118314
"59",1350.32761428066
"60",1305.11308327788
"61",1244.20740777267
"62",1172.06958172999
"63",1092.9405643027
"64",1010.67310079243
"65",928.83844531935
"66",850.318902969417
"67",777.472686763844
"68",711.634937063332
"69",653.630965204417
"70",603.657233769307
"71",561.31772871518
"72",526.16992059713
"73",497.30361329331
"74",473.838617291411
"75",454.970994423219
"76",439.851589565273
"77",427.823043057028
"78",418.278622721315
"79",410.71069064382
"80",404.721307531192
"81",399.966712592931
"82",396.19564219577
"83",393.196789104213
"84",390.80615055245
"85",388.890099961563
"86",387.336257567149
"87",386.086830031711
"88",385.062302996216
"89",384.222272911839
"90",383.526223467895
"91",382.948043142077
"92",382.461364438018
"93",382.04834339311
"94",381.696457884632
"95",381.395544905631
"96",381.13469767732
"97",380.904812805927
"98",380.70332705488
"99",380.527042977508
"100",380.372693241866
"101",380.229240527889
